id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
9558050450,20150330T000000,479950.0,3,2.5,2780,6000,2.0,0,0,3,9,2780,0,2004,0,98058,47.4569,-122.118,1940,3466
8648900110,20140505T000000,555000.0,3,2.5,1940,3211,2.0,0,0,3,8,1940,0,2009,0,98027,47.5644,-122.093,1880,3078
7215730070,20140911T000000,680000.0,5,3.0,2970,6500,2.0,0,0,3,9,2970,0,2000,0,98075,47.5973,-122.018,2970,6588
3300701170,20140620T000000,395000.0,3,1.0,1500,4000,1.0,0,0,3,6,900,600,1925,0,98117,47.6921,-122.38,950,4000
4039701280,20150408T000000,954500.0,3,2.25,2440,9689,1.0,0,2,4,8,1830,610,1974,0,98008,47.6141,-122.111,2730,9689
9534400010,20150423T000000,965800.0,4,1.75,2500,8725,1.0,0,0,4,8,1500,1000,1966,0,98004,47.6304,-122.205,1900,8998
3530410081,20140626T000000,216500.0,2,1.75,1390,4482,1.0,0,0,4,8,1390,0,1980,0,98198,47.3785,-122.32,1390,4680
6700400110,20140702T000000,223000.0,3,2.0,1110,7231,1.0,0,0,4,7,1110,0,1991,0,98031,47.4036,-122.191,1550,7245
8864000440,20140925T000000,225000.0,3,1.0,900,6099,1.0,0,0,3,6,790,110,1944,0,98168,47.4807,-122.289,1240,6099
7199340560,20140909T000000,460000.0,3,2.0,1600,7350,1.0,0,0,4,7,1600,0,1979,0,98052,47.6977,-122.126,1600,7200
1099600010,20140612T000000,210000.0,4,1.5,1130,7840,1.0,0,0,4,7,1130,0,1970,0,98023,47.2986,-122.377,1690,7840
627300195,20150303T000000,750000.0,5,2.5,3240,9960,1.0,0,1,3,8,2020,1220,1958,0,98008,47.5858,-122.112,2730,10400
1626069069,20141029T000000,600000.0,3,2.5,1350,187313,1.0,0,0,4,7,1350,0,1997,0,98077,47.7369,-122.049,2310,49222
8588000315,20140624T000000,225000.0,3,1.75,1330,13102,1.0,0,0,3,7,1330,0,1968,0,98003,47.3172,-122.322,1270,11475
1321740260,20141015T000000,349900.0,4,2.75,2530,13474,2.0,0,0,4,8,2530,0,1994,0,98023,47.289,-122.344,2490,13140
3764650050,20140730T000000,463000.0,3,2.5,2010,4195,2.0,0,0,3,8,2010,0,1998,0,98034,47.732,-122.197,2010,5779
7454000110,20150127T000000,202000.0,2,1.0,670,7844,1.0,0,0,3,6,670,0,1942,0,98126,47.5165,-122.372,740,7218
7522600110,20141229T000000,275000.0,3,2.0,1540,10410,1.0,0,0,4,7,1540,0,1967,0,98198,47.3662,-122.315,1590,7725
7853360990,20150102T000000,430000.0,3,2.5,1950,4949,2.0,0,0,3,7,1950,0,2009,0,98065,47.5155,-121.87,2200,5740
7986401275,20141119T000000,595000.0,4,2.5,2100,3125,2.0,0,2,3,7,1400,700,1907,1993,98107,47.6634,-122.358,2060,5040
